Found local copy...
Found local copy...
Found local copy...
These perturbations are not in the GO graph and their perturbation can thus not be predicted
['RHOXF2BB+ctrl' 'LYL1+IER5L' 'ctrl+IER5L' 'KIAA1804+ctrl' 'IER5L+ctrl'
 'RHOXF2BB+ZBTB25' 'RHOXF2BB+SET']
Local copy of pyg dataset is detected. Loading...
Done!
Local copy of split is detected. Loading...
Simulation split test composition:
combo_seen0:9
combo_seen1:43
combo_seen2:19
unseen_single:36
Done!
Creating dataloaders....
Done!
Found local copy...
[HCE] GO terms: 16, lambda_hce: 0.3, n_genes: 5045, n_perts: 9853
Start Training with HCE...
Epoch 9 Step 651 | total=0.5495 mse=0.5487 hce=0.0027
Epoch 9 Step 701 | total=0.5391 mse=0.5325 hce=0.0223
Epoch 9 Step 751 | total=0.6821 mse=0.6811 hce=0.0032
Epoch 9 Step 801 | total=0.5082 mse=0.5074 hce=0.0026
Epoch 9 Step 851 | total=0.5817 mse=0.5810 hce=0.0024
Epoch 9 Step 901 | total=0.5287 mse=0.5279 hce=0.0027
Epoch 9 Step 951 | total=0.5096 mse=0.5089 hce=0.0026
Epoch 9 Step 1001 | total=0.4808 mse=0.4789 hce=0.0062
Epoch 9 Step 1051 | total=0.5173 mse=0.5136 hce=0.0124
Epoch 9 Step 1101 | total=0.4823 mse=0.4816 hce=0.0024
Epoch 9 Step 1151 | total=0.5294 mse=0.5260 hce=0.0113
Epoch 9 Step 1201 | total=0.5825 mse=0.5815 hce=0.0032
Epoch 9 Step 1251 | total=0.5212 mse=0.5202 hce=0.0033
Epoch 9 Step 1301 | total=0.5509 mse=0.5504 hce=0.0017
Epoch 9 Step 1351 | total=0.5103 mse=0.5098 hce=0.0019
Epoch 9 Step 1401 | total=0.5921 mse=0.5876 hce=0.0152
Epoch 9 Step 1451 | total=0.4574 mse=0.4565 hce=0.0028
Epoch 9 Step 1501 | total=0.5506 mse=0.5499 hce=0.0023
Epoch 9 Step 1551 | total=0.4529 mse=0.4496 hce=0.0108
Epoch 9: Val MSE=0.0739 | Val Pearson=0.8159 | HCE loss=0.0049
Epoch 10 Step 1 | total=0.4505 mse=0.4496 hce=0.0028
Epoch 10 Step 51 | total=0.4639 mse=0.4629 hce=0.0033
Epoch 10 Step 101 | total=0.5902 mse=0.5883 hce=0.0061
Epoch 10 Step 151 | total=0.5352 mse=0.5342 hce=0.0031
Epoch 10 Step 201 | total=0.6206 mse=0.6191 hce=0.0048
Epoch 10 Step 251 | total=0.4638 mse=0.4631 hce=0.0025
Epoch 10 Step 301 | total=0.4573 mse=0.4565 hce=0.0028
Epoch 10 Step 351 | total=0.4774 mse=0.4719 hce=0.0185
Epoch 10 Step 401 | total=0.4784 mse=0.4774 hce=0.0032
Epoch 10 Step 451 | total=0.4886 mse=0.4879 hce=0.0024
Epoch 10 Step 501 | total=0.4781 mse=0.4772 hce=0.0031
Epoch 10 Step 551 | total=0.4805 mse=0.4794 hce=0.0038
Epoch 10 Step 601 | total=0.5669 mse=0.5662 hce=0.0025
Epoch 10 Step 651 | total=0.4824 mse=0.4815 hce=0.0030
Epoch 10 Step 701 | total=0.5654 mse=0.5647 hce=0.0023
Epoch 10 Step 751 | total=0.5799 mse=0.5789 hce=0.0033
Epoch 10 Step 801 | total=0.4829 mse=0.4822 hce=0.0024
Epoch 10 Step 851 | total=0.5468 mse=0.5453 hce=0.0051
Epoch 10 Step 901 | total=0.4983 mse=0.4976 hce=0.0025
Epoch 10 Step 951 | total=0.5064 mse=0.5052 hce=0.0040
Epoch 10 Step 1001 | total=0.4746 mse=0.4734 hce=0.0040
Epoch 10 Step 1051 | total=0.5410 mse=0.5401 hce=0.0029
Epoch 10 Step 1101 | total=0.5364 mse=0.5352 hce=0.0042
Epoch 10 Step 1151 | total=0.5956 mse=0.5949 hce=0.0022
Epoch 10 Step 1201 | total=0.5474 mse=0.5467 hce=0.0024
Epoch 10 Step 1251 | total=0.4611 mse=0.4606 hce=0.0016
